text,department,intent
kya hua grievance ticket 8902 is abhi tak solve nahi kiya kab hoga finally?,solid_waste,status_check
What is happening with complaint no BMC-1929 is nobody from bmc came plz reply @corporator,solid_waste,status_check
what is happening with reference id req-012 is dikha raha hai open but nobody working @bmc ??,parks,status_check
kya hua complaint no xxxxx is no reply from officials plz help ??,water_supply,status_check
Hello I need info on renew my commercial trade license plz tell bro fast reply needed,revenue,query
"dear sir/madam, where can i find garbge truck daily timing plz tell bro anyone?",solid_waste,query
pls send team fast severe flooding water entering living room in bandra jaldi aao pls !!!,disaster_management,emergency
every single day same painful issue: reporting total failure of street lights totally dead pitch black in entire it sector shameful reality !!!,electricity,complaint
Check application number XXXXX is abhi tak solve nahi kiya solve this asapp,solid_waste,status_check
pls send team fast building collapsed completely malba everywhere right here ambulance need urjent,disaster_management,emergency
hello what is the procedure to contact the local ward officer or corporator help desk number? thanks !!! ??,revenue,query
track complaint id 992a is waiting for 1 month straight solve this asapp,revenue,status_check
🚨 glae mein paani bhar gaya hai log doob rahe in bandra kuch karo bhagwan ke liye,disaster_management,emergency
Hello I am formally applying for mosquito fogging in entire residential society here kindly do it.,health,service_request
immediate action needed chhat gir gayi log dab gaye right now!! do something quick !!!,disaster_management,emergency
"listen here, kyahai yeh mcd drainage clogged dirty smelly water covering road in kalyan east shameful reality",sewerage,complaint
status of complaint id req-012 is not resolved yet on portal solve this asapp ??,solid_waste,status_check
@corporator plz arrange choked sewage tank machine cleaning in my society kripya dhyan de,sewerage,service_request
hello what is the procedure to which department handles potholes urgent question!! anyone? ??,roads,query
please tell application number xxxxx is no reply from officials kuch karo iska,solid_waste,status_check
Track complaint ID 8902 is stuck in processing department plz help !!!,revenue,status_check
every single day same painful issue: disgusting neglect garbage dump overflowing smelling like hell in kalyan east we are paying taxes for what?,solid_waste,complaint
mera service request sr- xxxxx is abhi tak solve nahi kiya solve this asapp,roads,status_check
pls send team fast severe flooding water entering living room at mg road bachao ??,disaster_management,emergency
kya hua grievance ticket 8902 is waiting for 1 month straight why delay? !!!,roads,status_check
🚨 huge banyan tree fell on main road ward 15 kuch karo bhagwan ke liye,disaster_management,emergency
kya hua reference ID REQ-012 is abhi tak solve nahi kiya frustrated citizen,disaster_management,status_check
to ward officer: arrange new garbage bins provision for our gully ward 10 jaldi bhejo team pls ??,solid_waste,service_request
status of complaint id req-012 is stuck in processing department plz reply @corporator,parks,status_check
@pmcpune kaha se find garbage truck daily timing plz.,solid_waste,query
"dear sir, arrange drinking water tanker delivery here kripya dhyan de",water_supply,service_request
Hello info needed urgently: renew my commercial trade license website link dena? thanks,revenue,query
🚨 huge banyan tree fell on main road at our residential society save us!! !!!,disaster_management,emergency
hello how to check ward map zoning restrictions ? thanks,revenue,query
🚨 sparking transformer se aag lagri right now!! kuch karo bhagwan ke liye,electricity,emergency
help! flyover bridge cracking and sinking immediately save us!!,roads,emergency
"dear sir/madam, info needed urgently: apply for death certificate duplicate kidhar milega form?",health,query
hello info needed urgently: which department handles potholes any direct link? fast reply needed,roads,query
bhai glae mein paani bhar gaya hai log doob rahe right now!! ambulance need urjent,disaster_management,emergency
"Listen here, kyahai yeh mcd gutter floating on streets pure sewage right outside my house door shameful reality ??",sewerage,complaint
mcd plz sparking transformer se aag lagri at mg road danger alert!,electricity,emergency
track complaint no xxxxx is stuck in processing department kab hoga finally? !!! ??,water_supply,status_check
@PMCPune I need info on get a birth certificate registration done plz tell bro,health,query
@mayor Sick of this huge crater potholes cracking my car suspension in kalyan east bmc is totally blind ??,roads,complaint
worst city management drainage clogged dirty smelly water covering road all over this garbage city plz fix immediately,sewerage,complaint
hello plz arrange new garbage bins provision for our gully in my society paying heavy taxes for this !!!,solid_waste,service_request
help! severe flooding water entering living room immediately bachao,disaster_management,emergency
@corporator application submitted for mosquito fogging in entire residential society here please.,health,service_request
mera reference id bmc-1929 is pending since 3 weeks @bmc,electricity,status_check
can someone tell me file wter tax arrears website link dena? thanks,water_supply,query
🚨 massive fire outbreak near transformer ward 15 save us!!,disaster_management,emergency
To ward officer: application submitted for choked sewage tank machine cleaning in sector 5 thanks in advance. !!!,sewerage,service_request
"dear sir/madam, info needed urgently: property tax penalty due date help desk number? thanks",revenue,query
"Dear Sir, Require pest control chemical spraying ward 10 thanks in advance.",health,service_request
@bmc disgusting neglect drainage clogged dirty smelly water covering road in entire it sector we are paying taxes for what?,sewerage,complaint
kya hua grievance ticket req-012 is dikha raha hai open but nobody working @bmc ??,roads,status_check
huge banyan tree fell on main rod near dadar station bachao !!!,disaster_management,emergency
track complaint no bmc-1929 is waiting for 1 month straight @bmc,sewerage,status_check
@PMCPune kaha se check ward map zoning restrictions any direct link? ??,revenue,query
"Dear Sir, Arrange choked sewage tank machine cleaning in sector 5 kindly do it. !!!",sewerage,service_request
@bmc reporting total failure of zero water supply since 4 straight days right outside my house door wtf administration,water_supply,complaint
require dead animal carcass pickup nagar paying heavy taxes for this !!!,health,service_request
"Listen here, Reporting total failure of huge crater potholes cracking my car suspension at mg road signal shameful reality !!!",roads,complaint
what is the procedure to file water tax arrears help desk number? fast reply needed !!!,water_supply,query
Every single day same painful issue: Disgusting neglect drainage clogged dirty smelly water covering road in kalyan east kuch toh sharam karo bmc ??,sewerage,complaint
track grievance ticket 992a is abhi tak solve nahi kiya why delay? ??,health,status_check
pls send team fast huge rabid dog attacked kids at our residential society danger alert!,health,emergency
Question: info needed urgently: property tax penalty due date plz tell bro,revenue,query
@PMCPune kaha se check ward map zoning restrictions urgent question!! thanks,revenue,query
every single day same painful issue: disgusting neglect drainage clogged dirty smelly water covering road in kalyan east kuch toh sharam karo bmc,sewerage,complaint
i want to know complaint no 992a is pending since 3 weeks kuch karo iska !!!,health,status_check
immediate action needed building collapsed completely malba everywhere right here ambulance need urjent,disaster_management,emergency
@mayor kyahai yeh mcd illegal massive encroachment on footpaths in kalyan east plz fix immediately,revenue,complaint
@bmc disgusting neglect paani ki main pipe toot gayi hai drinking wter leaks all over this garbge city kuch toh sharam karo bmc,water_supply,complaint
status of reference id 8902 is not resolved yet on portal kab hoga finally?,parks,status_check
@corporator we need daily road sweeping service at laut gate paying heavy taxes for this,solid_waste,service_request
please tell complaint no xxxxx is waiting for 1 month straight frustrated citizen ??,revenue,status_check
Every single day same painful issue: Worst city management kachra gaadi hasn't come for a week at mg road signal bmc is totally blind,solid_waste,complaint
Status of reference ID 992A is not resolved yet on portal why delay?,disaster_management,status_check
@bmc Complaint regarding kachra gaadi hasn't come for a week all over this garbge city shameful reality,solid_waste,complaint
🚨 flyover bridge cracking and sinking right here save us!!,roads,emergency
Status of grievance ticket 8902 is not resolved yet on portal kab hoga finally?,water_supply,status_check
mcd plz severe flooding water entering living room immediately bachao !!!,disaster_management,emergency
i want to know reference id 45928 is no reply from officials solve this asapp,sewerage,status_check
someone come quick severe flooding water entering living room immediately send fire brigade fast,disaster_management,emergency
Help! huge banyan tree fell on main rod immediately do something quick !!!,disaster_management,emergency
status of grievance ticket 45928 is abhi tak solve nahi kiya why delay?,health,status_check
Worst city management illegal massive encroachment on footpaths right outside my house door kuch toh sharam karo bmc,revenue,complaint
pls send team fast severe flooding water entering living room near dadar station do something quick !!!,disaster_management,emergency
immediate action needed building collapsed completely malba everywhere immediately danger alert!,disaster_management,emergency
@mayor I am extremely angry street lights totally dead pitch black entire ward 4 we are paying taxes for what?,electricity,complaint
"dear sir/madam, where can i apply for death certificate duplicate ? anyone?",health,query
every single day same painful issue: sick of this zero wter supply since 4 straight days entire ward 4 do ur goddamn job !!! ??,water_supply,complaint
mera application number 8902 is dikha raha hai open but nobody working frustrated citizen,revenue,status_check
Check application number XXXXX is waiting for 1 month straight why delay?,sewerage,status_check
plz provide tree pruning and heavy branch cutting at laut gate kripya dhyan de !!!,parks,service_request
"Listen here, Disgusting neglect drainage clogged dirty smelly water covering road in kalyan east solve it officially ??",sewerage,complaint
MCD please aag lag gayi hai 3rd floor mein immediately kuch karo bhagwan ke liye,disaster_management,emergency
To ward officer: Request for new garbage bins provision for our gully near public park please.,solid_waste,service_request
can someone tell me property tax penalty due date any direct link? fast reply needed,revenue,query
Please provide pest control chemical spraying at laut gate thanks in advance.,health,service_request
CRITICAL sparking transformer se aag lagri at our residential society ambulance need urjent !!!,electricity,emergency
CRITICAL building collapsed completely malba everywhere right here ambulance need urjent,disaster_management,emergency
plz tell application number 992a is pending since 3 weeks plz help,solid_waste,status_check
@corporator require mosquito fogging in entire residential society nagar very urgent request.,health,service_request
huge banyan tree fell on main rod in bandra danger alert! ??,disaster_management,emergency
immediate action needed glae mein paani bhar gaya hai log doob rahe at mg road jaldi aao pls,disaster_management,emergency
hello how to which department handles potholes website link dena? fast reply needed,roads,query
i am extremely angry street lights totally dead pitch black entire ward 4 solve it officially,electricity,complaint
🚨 aag lag gayi hai 3rd floor mein immediately jaldi aao pls !!!,disaster_management,emergency
"listen here, complaint regarding street lights totally dead pitch black in entire it sector solve it officially",electricity,complaint
Every single day same painful issue: I am extremely angry zero water supply since 4 straight days at mg road signal plz fix immediately !!! ??,water_supply,complaint
@mayor complaint regarding drainage clogged dirty smelly water covering road at mg road signal we are paying taxes for what?,sewerage,complaint
i want to know service request sr- 8902 is abhi tak solve nahi kiya plz help ??,electricity,status_check
"Dear Sir, Please arrange malba and construction debris lifting from pavement immediately kripya dhyan de",solid_waste,service_request
@corporator Please provide daily rod sweeping service at layout gate plz. !!! ??,solid_waste,service_request
help! glae mein paani bhar gaya hai log doob rahe ward 15 ambulance need urjent,disaster_management,emergency
hello require choked sewage tank machine cleaning in sector 5 plz.,sewerage,service_request
"Listen here, Disgusting neglect garbage dump overflowing smelling like hell right outside my house door plz fix immediately",solid_waste,complaint
Hello Arrange daily road sweeping service nagar jaldi bhejo team pls,solid_waste,service_request
CRITICAL live high tension wire snapped and fell at our residential society save us!! ??,electricity,emergency
@bmc worst city management garbage dump overflowing smelling like hell in entire it sector wtf administration,solid_waste,complaint
what is happening with service request sr- xxxxx is pending since 3 weeks plz reply @corporator,revenue,status_check
hello we need dead animal carcass pickup nagar thanks in advance.,health,service_request
@corporator Arrange daily road sweeping service nagar plz. !!! ??,solid_waste,service_request
🚨 glae mein paani bhar gaya hai log doob rahe right here ambulance need urjent,disaster_management,emergency
hello please arrange new garbage bins provision for our gully near public park very urgent request. !!!,solid_waste,service_request
mcd plz chhat gir gayi log dab gaye right here jaldi aao pls,disaster_management,emergency
@mayor i am extremely angry garbage dump overflowing smelling like hell in kalyan east do ur goddamn job,solid_waste,complaint
I am extremely angry street lights totally dead pitch black in kalyan east do your goddamn job,electricity,complaint
track complaint id 992a is pending since 3 weeks @bmc,sewerage,status_check
@pmcpune kaha se file water tax arrears plz. fast reply needed,water_supply,query
URGENT: flyover bridge cracking and sinking in bandra bachao,roads,emergency
urgent: huge banyan tree fell on main road near dadar station bachao,disaster_management,emergency
@pmcpune where can i file water tax arrears ? thanks,water_supply,query
🚨 massive fire outbreak near transformer right now!! danger alert!,disaster_management,emergency
kya hua complaint ID 8902 is dikha raha hai open but nobody working kab hoga finally?,roads,status_check
sick of this illegal massive encroachment on footpaths all over this garbage city kuch toh sharam karo bmc,revenue,complaint
@bmc sick of this huge crater potholes cracking my car suspension in entire it sector bmc is totally blind,roads,complaint
"dear sir/madam, kaise kr which department handles potholes help desk number? fast reply needed",roads,query
help! severe flooding water entering living room immediately ambulance need urjent,disaster_management,emergency
urgent: current lag raha hai nange taar se at mg rod do something quick !!!,electricity,emergency
urgent: fatal accident multiple injured immediately save us!! ??,roads,emergency
critical building collapsed completely malba everywhere right now!! jaldi aao pls,disaster_management,emergency
kya hua application number 992a is pending since 3 weeks @bmc,electricity,status_check
