complaint_text,department,category,priority,clean_text
"Major pipeline burst near Shiv Mandir, Gautam Nagar; water gushing onto the main road, causing traffic issues and huge wastage.",Water Supply,Leakage,High,"major pipeline burst near shiv mandir, gautam nagar water gushing onto the main road, causing traffic issues and huge wastage."
"Continuous heavy leakage from the main water line on MG Road, opposite Post Office, creating a large puddle and potential for accidents.",Water Supply,Leakage,High,"continuous heavy leakage from the main water line on mg road, opposite post office, creating a large puddle and potential for accidents."
"Urgent: Significant water leak at the junction of Lane 3 and 4, Indira Nagar; water is flowing non-stop into the storm drain for hours.",Water Supply,Leakage,High,"urgent significant water leak at the junction of lane 3 and 4, indira nagar water is flowing nonstop into the storm drain for hours."
"A pipe has burst outside house #12B, Green Park Colony, water is flooding the street and entering my compound. Needs immediate repair.",Water Supply,Leakage,High,"a pipe has burst outside house 12b, green park colony, water is flooding the street and entering my compound. needs immediate repair."
"There's a serious leakage from the public standpost near the weekly market in Rampur, wasting precious drinking water all day.",Water Supply,Leakage,High,"theres a serious leakage from the public standpost near the weekly market in rampur, wasting precious drinking water all day."
"Water meter outside my home (Flat 401, Sapphire Apartments) is leaking profusely, leading to massive water loss and high bills.",Water Supply,Leakage,High,"water meter outside my home flat 401, sapphire apartments is leaking profusely, leading to massive water loss and high bills."
"Underground pipe leakage reported near the public park entrance, Anand Vihar; the ground is completely waterlogged and becoming a mosquito breeding site.",Water Supply,Leakage,High,"underground pipe leakage reported near the public park entrance, anand vihar the ground is completely waterlogged and becoming a mosquito breeding site."
"Massive water seepage observed near the foundation of my building, A-20, Saraswati Vihar, potentially weakening the structure. Source appears to be the main municipal line.",Water Supply,Leakage,High,"massive water seepage observed near the foundation of my building, a20, saraswati vihar, potentially weakening the structure. source appears to be the main municipal line."
"Heavy water leakage from the main supply line on Professor Colony Road, causing a huge pothole and dangerous conditions for commuters.",Water Supply,Leakage,High,"heavy water leakage from the main supply line on professor colony road, causing a huge pothole and dangerous conditions for commuters."
"Burst pipe behind the District Hospital, near the staff quarters, creating a river on the service road. Please attend on priority.",Water Supply,Leakage,High,"burst pipe behind the district hospital, near the staff quarters, creating a river on the service road. please attend on priority."
"My tap connection on the main line is leaking severely, 5th Street, Krishna Nagar; water is running continuously down the lane.",Water Supply,Leakage,High,"my tap connection on the main line is leaking severely, 5th street, krishna nagar water is running continuously down the lane."
"Urgent attention needed for a gushing leak on Main Bazaar Road, near the vegetable market. Water is flowing like a stream, causing great inconvenience.",Water Supply,Leakage,High,"urgent attention needed for a gushing leak on main bazaar road, near the vegetable market. water is flowing like a stream, causing great inconvenience."
"Persistent, heavy leakage from the water pipeline near the bus stop, Sector 7; the area is perpetually wet and slippery.",Water Supply,Leakage,High,"persistent, heavy leakage from the water pipeline near the bus stop, sector 7 the area is perpetually wet and slippery."
"There's a major water leak from the municipal supply line outside H.No. 34, Shanti Nagar, the water is entering the adjacent low-lying houses.",Water Supply,Leakage,High,"theres a major water leak from the municipal supply line outside h.no. 34, shanti nagar, the water is entering the adjacent lowlying houses."
"A significant pipe burst on Swami Vivekananda Marg, near the municipal school, has submerged a large section of the road.",Water Supply,Leakage,High,"a significant pipe burst on swami vivekananda marg, near the municipal school, has submerged a large section of the road."
"The water pipe supplying our street (Lane 5, Ganesh Peth) is leaking heavily, leading to very low pressure and much wastage.",Water Supply,Leakage,High,"the water pipe supplying our street lane 5, ganesh peth is leaking heavily, leading to very low pressure and much wastage."
"Immediate action required for a large leak near the sewage drain on Patel Road, fearing contamination of drinking water.",Water Supply,Leakage,High,"immediate action required for a large leak near the sewage drain on patel road, fearing contamination of drinking water."
